policy,frames,vm_accesses,vm_faults,vm_evictions,vm_dirty,fault_rate,EAT_ns
FIFO,2,35,7,1,1,0.200000,1000080
FIFO,3,35,7,0,0,0.200000,600080
FIFO,4,35,7,0,0,0.200000,600080
FIFO,5,35,7,0,0,0.200000,600080
FIFO,6,35,7,0,0,0.200000,600080
FIFO,7,35,7,0,0,0.200000,600080
FIFO,8,35,7,0,0,0.200000,600080
LRU,2,35,7,1,1,0.200000,1000080
LRU,3,35,7,0,0,0.200000,600080
LRU,4,35,7,0,0,0.200000,600080
LRU,5,35,7,0,0,0.200000,600080
LRU,6,35,7,0,0,0.200000,600080
LRU,7,35,7,0,0,0.200000,600080
LRU,8,35,7,0,0,0.200000,600080
LFU,3,35,7,0,0,0.200000,600080
LFU,4,35,7,0,0,0.200000,600080
LFU,5,35,7,0,0,0.200000,600080
LFU,6,35,7,0,0,0.200000,600080
LFU,7,35,7,0,0,0.200000,600080
LFU,8,35,7,0,0,0.200000,600080
MFU,2,35,7,1,1,0.200000,1000080
MFU,3,35,7,0,0,0.200000,600080
MFU,4,35,7,0,0,0.200000,600080
MFU,5,35,7,0,0,0.200000,600080
MFU,6,35,7,0,0,0.200000,600080
MFU,7,35,7,0,0,0.200000,600080
MFU,8,35,7,0,0,0.200000,600080
